,text,author_id,public_metrics,created_at,id,query_description,tags,withheld,"('english_score', 'universal_score')"
17,"RT @chinanotenemy: ""The initiative was supposed to focus on economic espionage, but it has increasingly charged academics with 'research in…",1591286180,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:42:10+00:00,1467987759474397186,Testing the search with loops,#race##BLM#Test,,"(0.81, 0.8)"
18,"RT @ActToChange: 31% of #AsianAmericans and 26% of #PacificIslanders reported experiencing a hate incident at work.

We must come together…",603127833,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:40:58+00:00,1467987457857576961,Testing the search with loops,#race##BLM#Test,,"(0.19, 0.07)"
19,RT @chinanotenemy: Build Back Better... McCarthyism? The #USICA bill will further fuel domestic xenophobia and racism through McCarthyist s…,107786881,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:40:40+00:00,1467987380598624257,Testing the search with loops,#race##BLM#Test,,"(0.62, 0.61)"
20,😂🤣😂🤣😂🤣 Why do white supremacists like playing dress up so much ? #America #WhiteSupremacy https://t.co/YKi2F2VBqK,1033402095112806401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:41+00:00,1467988894553628675,Testing the search with loops,#race##BLM#Test,,"(0.12, 0.22)"
21,"I see the #PatriotFront had their annual ""weenie"" march today.

Not well attended...or well planned.

They couldn't find a ride home.  Who's gonna give a #Nazi a ride?

#WhiteSupremacy https://t.co/uKoDjAOYJv",1234881563910762496,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:42:50+00:00,1467987929452933120,Testing the search with loops,#race##BLM#Test,,"(0.7, 0.63)"
22,#WhiteSupremacy https://t.co/sCEDLWnHkO,1306431386753077250,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:28:47+00:00,1467984393260122114,Testing the search with loops,#race##BLM#Test,,"(0.17, 0.17)"
23,#WhitePrivilege #WhiteSupremacy https://t.co/Cla66j3nmn,154601063,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:23:32+00:00,1467983070401908742,Testing the search with loops,#race##BLM#Test,,"(0.07, 0.08)"
24,@MerrittForTexas There is NO #whitesupremacy you clown!!!! But there is a lot of #blacksupremacy and #blackprivilege on display daily in this country. Blacks are the most #racist people in this country. Fact.,1435336868992675841,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:21:02+00:00,1467982441738506240,Testing the search with loops,#race##BLM#Test,,"(0.13, 0.15)"
25,"@withinflyer I keep asking myself the same question every single day, why do they allow him to continue being #incendiary &amp; gaining more &amp; more adepts within #WhiteSupremacy #militias that only got their 1st trial run in #Charlottesville &amp; were emboldened on #January6thInsurrection what next?",1956754434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:18:28+00:00,1467981794666590209,Testing the search with loops,#race##BLM#Test,,"(0.7, 0.63)"
26,"@CharlesWMcKinn2 ""reestablishment?"" When did #WhiteSupremacy ever go away? Cosmetic changes left the trunk and roots of #WhiteSupremacy undisturbed. Even those disturb whites who don't realize nothing has seriously changed. We (whites) need to take the lead in burning it down.",152194866,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:15:51+00:00,1467981136492122118,Testing the search with loops,#race##BLM#Test,,"(0.53, 0.48)"
